Species:Chemical Name:Ordered Freq (GHz) (rest frame, redshifted):Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):E_L (K):Linelist
SiOv=0:Silicon Monoxide:86.84696000, 86.84696000:2-1:-2.47860: 1.5:1.4485:2.0841:JPL
HCNv=0:Hydrogen Cyanide:88.63041560, 88.63041560:J=1-0,F=1-1:-2.99110::0.0000:0.0000:CDMS
HCNv=0:Hydrogen Cyanide:88.63160230, 88.63160230:J=1-0:-2.51260::0.0000:0.0000:CDMS
HCNv=0:Hydrogen Cyanide:88.63184750, 88.63184750:J=1-0,F=2-1:-2.76930::0.0000:0.0000:CDMS
HCNv=0:Hydrogen Cyanide:88.63393570, 88.63393570:J=1-0,F=0-1:-3.46820::0.0000:0.0000:CDMS
CSv=0:Carbon Monosulfide:97.98095330, 97.98095330:2-1:-2.72520: 6.94:1.6342:2.3512:CDMS
C18O:Carbon Monoxide:109.78217340, 109.78217340:1-0:-5.07080: 2.1:0.0000:0.0000:CDMS
13COv=0:Carbon Monoxide:110.20132180, 110.20132180:J=1-0,F=1/2-1/2:-5.54330: 9.3:0.0000:0.0000:CDMS
13COv=0:Carbon Monoxide:110.20135430, 110.20135430:1-0:-5.06620: 9.3:0.0000:0.0000:CDMS
13COv=0:Carbon Monoxide:110.20137040, 110.20137040:J=1-0,F=3/2-1/2:-5.24230: 9.3:0.0000:0.0000:CDMS
COv=0:Carbon Monoxide:115.27120180, 115.27120180:1-0:-5.01050:60.0:0.0000:0.0000:CDMS
SiOv=0:Silicon Monoxide:130.26861000, 130.26861000:3-2:-1.95790: 1.34:4.3454:6.2520:JPL
CSv=0:Carbon Monosulfide:146.96902870, 146.96902870:3-2:-2.20550: 8.1:4.9025:7.0536:CDMS
SiOv=0:Silicon Monoxide:173.68831000, 173.68831000:4-3:-1.59370: 65e:8.6907:12.5039:JPL
HCNv=0:Hydrogen Cyanide:177.25967930, 177.25967930:J=2-1,F=2-2:-2.69930::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.25992460, 177.25992460:J=2-1,F=1-0:-2.57440::2.9565:4.2537:CDMS
HCNv=0:Hydrogen Cyanide:177.26111120, 177.26111120:J=2-1,F=2-1:-2.22220::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26111150, 177.26111150:J=2-1:-1.61880::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26122200, 177.26122200:J=2-1,F=3-2:-1.95120::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26201280, 177.26201280:J=2-1,F=1-2:-3.87540::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26344470, 177.26344470:J=2-1,F=1-1:-2.69930::2.9564:4.2536:CDMS
CSv=0:Carbon Monosulfide:195.95421090, 195.95421090:4-3:-1.84260: 3.3:9.8048:14.1068:CDMS
SiOv=0:Silicon Monoxide:217.10498000, 217.10498000:5-4:-1.31660: 1.6:14.4843:20.8396:JPL
C18O:Carbon Monoxide:219.56035410, 219.56035410:2-1:-4.17940: 3.5:3.6619:5.2686:CDMS
13COv=0:Carbon Monoxide:220.39861950, 220.39861950:J=2-1,F=3/2-3/2:-5.35080:17.:3.6759:5.2888:CDMS
13COv=0:Carbon Monoxide:220.39866740, 220.39866740:J=2-1,F=3/2-1/2:-4.65170:17.:3.6759:5.2888:CDMS
13COv=0:Carbon Monoxide:220.39868420, 220.39868420:2-1:-4.17490:17.:3.6759:5.2888:CDMS
13COv=0:Carbon Monoxide:220.39870060, 220.39870060:J=2-1,F=5/2-3/2:-4.39670:17.:3.6759:5.2888:CDMS
COv=0:Carbon Monoxide:230.53800000, 230.53800000:2-1:-4.11970:70.:3.8450:5.5321:CDMS
CSv=0:Carbon Monosulfide:244.93555650, 244.93555650:5-4:-1.56720: 5.5:16.3411:23.5111:CDMS
SiOv=0:Silicon Monoxide:260.51802000, 260.51802000:6-5:-1.09570: 2.9:21.7261:31.2588:JPL
HCNv=0:Hydrogen Cyanide:265.88489120, 265.88489120:J=3-2,F=3-3:-2.53870::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88618860, 265.88618860:J=3-2,F=2-1:-1.80630::8.8693:12.7609:CDMS
HCNv=0:Hydrogen Cyanide:265.88643390, 265.88643390:J=3-2,F=3-2:-1.63560::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88643430, 265.88643430:J=3-2:-1.10590::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88649990, 265.88649990:J=3-2,F=4-3:-1.47530::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88697930, 265.88697930:J=3-2,F=2-3:-4.08270::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88852210, 265.88852210:J=3-2,F=2-2:-2.53860::8.8692:12.7607:CDMS
CSv=0:Carbon Monosulfide:293.91208650, 293.91208650:6-5:-1.34840: 3.3:24.5113:35.2661:CDMS
